source,subsource,text,date_approx
community_forum,Spotify Community,"I play music off Spotify for my bubba to fall asleep to. This is typically classical/meditative relaxing style tracks. Since she sleeps 4 times a day this type of music is getting a LOT of playtime but is not representative of my music taste. I'm finding my Discover Weekly (which I LOVE by the way) is moving more away from my music and more towards the classical/chill out stuff I play for the little one.Would be super cool to be able to mark a playlist to exclude it from the Discover algorithm.",2026
community_forum,Spotify Community,"I would like to be able to be able to MIX (meaning the mix feature for automatic/manual mixing) playlists created by Spotify for me. Like Daily mix 01/02..., Discover weekly, Your All-Time Top Songs, Best of 2025... I dont like gaps in listening and the inbuilt crossfade feature is fine, but I feel the MIX button does better job. But I do not have time to create and mix playlists for my 5day/week 8hr a day work listening, I like the playlists cresated by Spotify for me. Please add the MIX button to these playlists (as seen on pic 2 on my playlist). Thank you.",2026
community_forum,Spotify Community,"please give users the option to block an entire genre from recommendations. Sometimes I don't dislike a few artists—I simply never want recommendations from a specific genre cluster.For now I have blocked every Christian EDM artist I could find. If next week's Discover Weekly is still full of worship drum & bass, I will assume Spotify's recommendation engine has achieved sentience and is actively trying to save my soul.",2026
community_forum,Spotify Community,"Allow users to see where they are logged in and customize their listening profile based on activity from that device. Some devices like a phone with spotify logged into it may be used in the event of a party, uber, or business establishment to queue up music requested by others, not the primary user. This can muddle music recommendations and auto-play suggestions. By allowing the user to pick a device they're logged into, such as a laptop, this can filter the recommendations to the user's actual preference, not just based off of recent listening history.",2026
community_forum,Spotify Community,"Add a user preference to control how live performance recordings are weighted for inclusion in search results and recommendations. Users should be able to direct their service to “Avoid”, “Include”, or “Prefer” live performances.",2026
community_forum,Spotify Community,"Please restore a dedicated, permanently visible Recents row on the desktop Home page.",2026
community_forum,Spotify Community,"Got tired of not always finding the right song for the right moment and wondered if AI could just do it.",2026
community_forum,Spotify Community,"As a paying customer, I expect ongoing improvements to the service, particularly in areas like personalization and music discovery. Instead, I feel the experience has moved in the opposite direction.I wanted to provide this feedback because I genuinely enjoy Spotify and would prefer to remain a customer. However, if the recommendation and discovery experience continues to decline, I will seriously consider exploring alternative streaming platforms that do a better job of introducing listeners to new music.",2026
community_forum,Spotify Community,"I've noticed a significant decline in that experience.Many of the playlists and recommendations being presented to me now feel repetitive and stale. Different playlists often contain many of the same songs, resulting in very little actual music discovery. Instead of being introduced to new artists or tracks, I find myself hearing the same selections over and over again.Additionally, the genres and artists being recommended increasingly do not align with my listening habits. It feels as though the algorithm has become less accurate and less personalized than it once was. Rather than helping me explore new music within the genres I enjoy, it often suggests music that has little relevance to my tastes.",2026
community_forum,Spotify Community,"Many users find themselves listening to music for specific hooks, drops, or repetitive rhythms—especially when trying to focus, study, or stay in a flow state. Currently, to hear that specific part again, users must manually scrub the progress bar, which is imprecise and disrupts the flow.",2026
community_forum,Spotify Community,"memory also needs to be extended because it never replays songs I liked a year ago, it only focuses on the music I’ve listened to extremely recently which gets repetitive very fast. If it does replay old songs it’s the same six songs in the same order that it will bring up randomly, and it’s always exactly the top songs from that time period never a hidden gem that I liked for a week or something.",2026
community_forum,Spotify Community,"One of the primary reasons I subscribe to a music streaming service is to discover new music. Lately, that aspect of Spotify feels largely absent, and the overall listening experience has become predictable and, frankly, boring.",2026
community_forum,Spotify Community,"When playlists only contain 50 tracks, Spotify quickly fills them with songs I already know well. This makes the experience predictable.",2026
community_forum,Spotify Community,"I’m a heavy user of the Smart Shuffle feature, but I’ve noticed a repetitive pattern. Even with the smart algorithms, the shuffle often becomes predictable. For example, if I listen to Phonk, the system consistently pairs it with the same specific tracks the next day, creating a static loop instead of a fresh experience.",2026
community_forum,Spotify Community,"Why does Spotify keep recommending me the exact same songs in my recommended tab. nearly every single song on the recommended tab has already been suggested to me many times before and i've only had this account for a week. Is there any way I can stop this as I moved to Spotify thinking that it had a good recommended algorithm.",2023
community_forum,Spotify Community,"I've noticed a recent issue with Spotify's recommendation system that seems to prioritize suggesting songs already present in a playlist. This problem has disrupted the usual logical flow of recommendations. In the past, the system used to introduce new tracks seamlessly, but now it's repeatedly recommending songs that I've already added to a specific playlist. This repetitive pattern is affecting the diversity and novelty of my listening experience.",2023
community_forum,Spotify Community,"When using Song Radio, the suggestions often feel repetitive - frequently looping in artists I already listen to or leaning heavily toward more popular, algorithm-driven choices. In contrast, when I search for a specific track and let Spotify continue playing naturally, the following songs are often more diverse, unique, and introduce smaller or lesser-known artists.",2026
community_forum,Spotify Community,"I really like the Spotify DJ concept and the system of switching set if I'm not in the mood for a specific set, however, for me it's extremely repetitive. Spotify DJ seems to think that I only want to listen to maybe 20 songs and shuffles these again and again.",2024
community_forum,Spotify Community,"Spotify increasingly feels stuck in a loop. The algorithm relies heavily on what we’ve listened to in the past and keeps pushing the same artists, the same songs, the same vibes over and over again. Instead of opening doors to new discoveries, it locks us into a comfortable but repetitive bubble. By prioritizing what already worked, Spotify ends up freezing our musical tastes in the past and slowing down real exploration, when music should be about curiosity, renewal, and surprise.",2026
community_forum,Spotify Community,"I love Spotify and use the Radio feature all the time, but it's incredibly frustrating that my custom stations play the same songs over and over again. It's almost like I'm listening to a set playlist and not hearing new music at all. Sometimes I'll hear the same song 3 times in a few hours. Not often so whatever. But consistently, I'm just hitting skip because I've hear the same songs every time I put that station on.",2014
community_forum,Spotify Community,"Using users’ listening history and preferred genres, Spotify could create playlists made up entirely of songs they have never listened to before on the app. The playlists would still align with each user’s music taste by recommending tracks that are similar in genre and style to the artists and songs they already love. Too often, Spotify-curated playlists recycle the same songs repeatedly, making the listening experience feel repetitive. This feature would help users discover new music and expand their libraries",2026
community_forum,Spotify Community,"At the moment, many Radio and Mix playlists feel too short and repetitive.In my experience, playlists are often built from approximately 80–90% songs that are already in my liked songs, favorites, or listening history, while only 10–15% are truly new recommendations.",2026
community_forum,Spotify Community,"i used to love my discover weekly playlist. I found very good music.recently, I have noticed it often contains songs that are already on some other playlist of mine or that I already know (and listened to them on Spotify)",2019
community_forum,Spotify Community,"Since ever I keep getting in Discover Weekly the songs I've already not only heard but also had in Discover Weekly, sometimes even a week ago. This is unbelievably annoying. Only half (approx.) of the songs is really something new. There are some tracks that pop up on the list every second week or so! There's definitely something broken.",2022
community_forum,Spotify Community,"For the past month or so, I've had so many repeats of songs on my Discover Weekly playlist.  Now, I can count on 5-10 songs that I've had before on the playlist.Is there a way to mix up the algorithm?  Or maybe an option to eleminate songs that have been on the playlist before",2016
community_forum,Spotify Community,"My biggest problem is that when I dislike some songs and they keep coming back again, again and again. The exact same songs, I know them from names, album covers and of course from listening. Some of them are so bad I can't stand it.",2022
community_forum,Spotify Community,"Discover Weekly used to feel like true discovery, with a mix of songs across different genres.Lately it feels more focused on music similar to what I already listen to, which makes it less interesting.",2026
community_forum,Spotify Community,"Whenever a song, playlist, or album ends, autoplay generates a queue of songs that is pretty much always the same songs in the same order. This includes some songs that I don't like and skip every time.",2023
community_forum,Spotify Community,"The auto-radio that plays after you've finished the last song of a playlist and you are not in either the repeat/shuffle mode keeps playing the same song.I have pressed the skip button on this songs dozens of times so far and even though it says Will not play this song in this situation next time, it does precisely that every single time I reach the end of my playlist. I hate this song and the songs that come after are usually great but the skip button not working is a pain.",2022
community_forum,Spotify Community,"i want to hear more then the 40-50 auto play songs after spotify plays the songs i seeded my station with.  how can i increase that number so i dont hear the same songs over & over again",2023
community_forum,Spotify Community,"I want to listen to the music on my playlist over and over again without having to hit play every-time it ends. It used to do this but they got rid of it in the new update. I don’t want to hear similar music once the playlist comes to a close",2023
social_media,Twitter/X,"Real question, what's new with Spotify?I feel like the app has been stagnating for several years.Or even regressing, I'm disappointed with my Discover Weekly playlists now, whereas they used to introduce me to tons of tracks before",2026
social_media,Twitter/X,"spotify really has the worst recommendations",2026
social_media,Twitter/X,"It really bugs me on Spotify when I like only certain songs from an artist, so I try to make a radio from one of them, and then it plays songs like the whole artist’s library. Why can’t it show me similar to one specific song",2026
social_media,Twitter/X,"should have an option for me to click on a piece of media and never be sorted into recommendations and to build a profile on things I think are stupid.",2026
social_media,Twitter/X,"Spotify, YouTube, Twitter. All metal accounts. Octane and liquid metal replay the same songs and artists too much.",2026
social_media,Twitter/X,"I feel like the app has been stagnating for several years.",2026
social_media,Twitter/X,"Spotify is so bad at recommending music like truly the most stupid worthless good for nothing algorithm but they keep making useless app enhancements where they tell u song stats like the producers now so yeah I’m not leaving",2026
social_media,Twitter/X,"One of the worst things about Spotify is trying to find new music through a song that got popular, so all you get recommended is just popular stuff instead of underrated gems",2026
social_media,Twitter/X,"spotify is so evil genuinely, not only they shuffle random songs in between the playlist we play, they also limit the amount of time we can choose a song to play by ourselves, like atp just don't let me listen at all if i don't have premium",2026
social_media,Twitter/X,"The Rediscover Weekly playlist on Spotify is so clutch",2026
social_media,Twitter/X,"my discover weekly is so bad right now spotify i will cancel this family plan don tplay with me",2026
social_media,Twitter/X,"Same energy. Guilt hits different when Discover Weekly drops a perfect playlist. Spotify knows us better than our own siblings at this point.",2026
social_media,Twitter/X,"My Spotify's been playing the same three songs on repeat for a week. It's a very specific kind of hell.",2026
social_media,Twitter/X,"that spotify glitch where it plays the same song every other song will be the death of me.",2026
social_media,Twitter/X,"i loved spotify daylists but they started being uninteresting, always showing me everything I already listened to, i loved it for finding new music, now I just use radios of specific songs",2026
social_media,Twitter/X,"My Spotify discover weekly is always the worst music I’ve ever heard in my life",2023
social_media,Twitter/X,"does anyone elses spotify shuffle like go back in time the next time u listen and it just loops the same songs over and over unless u shuffle again",2026
social_media,Twitter/X,"get your stupid algorithm out of my library! I have 870 liked songs, and when I put that list on random play I want a truly random playlist. There is zero reason I should hear the same song every day of the week when there are 870 options",2026

